Produk sering beli,Saluran belanja,Motivasi utama pembelian,Hobi,Minat,Pernyataan: Membaca adalah bagian penting dari pengembangan diri saya,Pernyataan: Saya sering mencari inspirasi untuk kegiatan kreatif dari buku atau alat tulis,Pernyataan: Saya berusaha menerapkan gaya hidup minimalis dalam hal kepemilikan barang,Pernyataan: Saya nyaman menggunakan teknologi digital untuk membaca dan mencatat
"Mainan/Collectible item; Buku Pelajaran/Edukasi (Termasuk Latihan Soal, Kamus); Perlengkapan Kantor atau Sekolah","Marketplace (Shopee, Tokopedia, dll.)",Sebagai bentuk 'self-reward' atau apresiasi diri; Kado atau hadiah; Untuk mengekspresikan kreativitas,Bermain musik,"Alat Olahraga; Kesehatan dan Kecantikan; Buku non-fiksi (pengembangan diri, sejarah, agama)",Tidak Setuju,Sangat Tidak Setuju,Sangat Setuju,Setuju
Jurnal/Perencana (Planner); Mainan/Collectible item; Alat Olahraga,Toko buku independen lainnya,Untuk mengekspresikan kreativitas; Hiburan atau relaksasi,Travelling,"Buku non-fiksi (pengembangan diri, sejarah, agama)",Tidak Setuju,Sangat Tidak Setuju,Setuju,Tidak Setuju
"Buku Pelajaran/Edukasi (Termasuk Latihan Soal, Kamus); Perlengkapan Seni/Kreatif",Aplikasi Gramedia Digital (ebook),"Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)",Bermain game (offline/online); Travelling,"Buku non-fiksi (pengembangan diri, sejarah, agama)",Sangat Setuju,Tidak Setuju,Netral,Tidak Setuju
Perlengkapan Kantor atau Sekolah; Perlengkapan Seni/Kreatif; Alat Olahraga,Toko alat tulis lainnya,Untuk mengekspresikan kreativitas,Travelling,"Alat Olahraga; Kesehatan dan Kecantikan; Buku Edukasi (Buku Teks, Latihan Soal, Kamus)",Sangat Tidak Setuju,Sangat Setuju,Netral,Netral
"Alat Musik; Buku Non-Fiksi (Pengembangan Diri, Bisnis, dll.); Novel Fiksi",Website Gramedia.com,"Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya); Kado atau hadiah",Bermain game (offline/online); Bermain musik; Belanja online/offline,Mainan; Kesehatan dan Kecantikan,Tidak Setuju,Sangat Setuju,Setuju,Setuju
Alat Olahraga,Toko buku independen lainnya,"Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)",Menghadiri acara budaya atau edukasi; Membaca buku atau majalah ; Olahraga,Kesehatan dan Kecantikan; Mainan,Tidak Setuju,Setuju,Sangat Tidak Setuju,Netral
Komik/Novel Grafis,Toko alat tulis lainnya,"Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)",Membaca buku atau majalah ,"Buku fiksi (novel, komik, buku anak)",Sangat Tidak Setuju,Sangat Tidak Setuju,Sangat Tidak Setuju,Sangat Setuju
Mainan/Collectible item,Toko buku independen lainnya,Menambah pengetahuan; Hiburan atau relaksasi,"Bermain musik; Menulis (diari, blog, atau lainnya); Belanja online/offline","Mainan; Buku fiksi (novel, komik, buku anak)",Sangat Setuju,Netral,Sangat Tidak Setuju,Netral
Alat Tulis Umum (Kantor/Sekolah),Toko Gramedia,"Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya); Untuk mengekspresikan kreativitas; Sebagai bentuk 'self-reward' atau apresiasi diri",Travelling; Membaca buku atau majalah ,"Buku non-fiksi (pengembangan diri, sejarah, agama); Alat Tulis kantor atau sekolah",Tidak Setuju,Setuju,Tidak Setuju,Sangat Setuju
Alat Tulis Umum (Kantor/Sekolah); Perlengkapan Seni/Kreatif; Komik/Novel Grafis,Aplikasi Gramedia.com,Untuk mengekspresikan kreativitas,"Melukis atau menggambar ; Menulis (diari, blog, atau lainnya); Membaca buku atau majalah ","Kesehatan dan Kecantikan; Buku fiksi (novel, komik, buku anak); Buku non-fiksi (pengembangan diri, sejarah, agama)",Setuju,Sangat Tidak Setuju,Sangat Tidak Setuju,Tidak Setuju
"Komik/Novel Grafis; Buku Non-Fiksi (Pengembangan Diri, Bisnis, dll.); Buku Pelajaran/Edukasi (Termasuk Latihan Soal, Kamus)",Aplikasi Gramedia.com,"Kado atau hadiah; Hiburan atau relaksasi; Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)",Bermain musik; Menghadiri acara budaya atau edukasi; Travelling,"Buku Edukasi (Buku Teks, Latihan Soal, Kamus); Buku non-fiksi (pengembangan diri, sejarah, agama); Buku fiksi (novel, komik, buku anak)",Setuju,Setuju,Netral,Setuju
"Alat Musik; Alat Olahraga; Buku Non-Fiksi (Pengembangan Diri, Bisnis, dll.)",Toko Gramedia,Hiburan atau relaksasi; Untuk mengekspresikan kreativitas,Menghadiri acara budaya atau edukasi; Belanja online/offline; Bermain musik,"Kesehatan dan Kecantikan; Alat Musik & kesenian; Buku Edukasi (Buku Teks, Latihan Soal, Kamus)",Sangat Setuju,Tidak Setuju,Tidak Setuju,Tidak Setuju
Perlengkapan Kantor atau Sekolah,"Marketplace (Shopee, Tokopedia, dll.)","Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya); Kado atau hadiah",Belanja online/offline; Bermain musik,"Buku fiksi (novel, komik, buku anak); Buku non-fiksi (pengembangan diri, sejarah, agama); Buku Edukasi (Buku Teks, Latihan Soal, Kamus)",Netral,Sangat Setuju,Netral,Sangat Setuju
"Buku Non-Fiksi (Pengembangan Diri, Bisnis, dll.); Novel Fiksi",Aplikasi Gramedia.com,Kado atau hadiah; Untuk mengekspresikan kreativitas,Olahraga; Belanja online/offline,Alat Musik & kesenian; Mainan,Sangat Setuju,Sangat Setuju,Sangat Setuju,Sangat Tidak Setuju
"Buku Non-Fiksi (Pengembangan Diri, Bisnis, dll.); Alat Tulis Umum (Kantor/Sekolah); Perlengkapan Seni/Kreatif",Aplikasi Gramedia Digital (ebook),Hiburan atau relaksasi; Untuk mengekspresikan kreativitas,Bermain game (offline/online); Olahraga,"Buku fiksi (novel, komik, buku anak)",Sangat Setuju,Netral,Tidak Setuju,Setuju
"Mainan/Collectible item; Novel Fiksi; Buku Pelajaran/Edukasi (Termasuk Latihan Soal, Kamus)",Toko alat tulis lainnya,"Menambah pengetahuan; Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya); Sebagai bentuk 'self-reward' atau apresiasi diri",Bermain game (offline/online); Olahraga,"Buku Edukasi (Buku Teks, Latihan Soal, Kamus)",Tidak Setuju,Setuju,Sangat Setuju,Sangat Tidak Setuju
"Buku Non-Fiksi (Pengembangan Diri, Bisnis, dll.); Alat Tulis Umum (Kantor/Sekolah)",Aplikasi Gramedia Digital (ebook),Untuk mengekspresikan kreativitas; Kado atau hadiah,Membaca buku atau majalah ; Bermain musik; Melukis atau menggambar ,Mainan,Netral,Netral,Tidak Setuju,Sangat Tidak Setuju
"Buku Pelajaran/Edukasi (Termasuk Latihan Soal, Kamus); Mainan/Collectible item","Marketplace (Shopee, Tokopedia, dll.)","Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)","Menulis (diari, blog, atau lainnya); Olahraga; Menghadiri acara budaya atau edukasi","Buku fiksi (novel, komik, buku anak)",Sangat Setuju,Netral,Sangat Setuju,Tidak Setuju
Jurnal/Perencana (Planner); Komik/Novel Grafis; Mainan/Collectible item,Website Gramedia.com,"Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya); Kado atau hadiah; Hiburan atau relaksasi",Bermain game (offline/online); Bermain musik; Melukis atau menggambar ,Kesehatan dan Kecantikan,Sangat Setuju,Sangat Setuju,Netral,Sangat Setuju
Alat Tulis Umum (Kantor/Sekolah); Alat Olahraga,Aplikasi Gramedia.com,Kado atau hadiah; Sebagai bentuk 'self-reward' atau apresiasi diri; Menambah pengetahuan,"Menulis (diari, blog, atau lainnya); Travelling; Membaca buku atau majalah ","Buku non-fiksi (pengembangan diri, sejarah, agama)",Sangat Tidak Setuju,Setuju,Tidak Setuju,Sangat Setuju
Buku Anak; Komik/Novel Grafis; Mainan/Collectible item,Toko buku independen lainnya,"Menambah pengetahuan; Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)",Menghadiri acara budaya atau edukasi,"Buku Edukasi (Buku Teks, Latihan Soal, Kamus)",Sangat Setuju,Sangat Tidak Setuju,Setuju,Sangat Setuju
"Buku Pelajaran/Edukasi (Termasuk Latihan Soal, Kamus); Alat Musik; Jurnal/Perencana (Planner)",Aplikasi Gramedia.com,Untuk mengekspresikan kreativitas,Bermain musik; Olahraga; Melukis atau menggambar ,"Kesehatan dan Kecantikan; Buku non-fiksi (pengembangan diri, sejarah, agama); Mainan",Netral,Sangat Tidak Setuju,Tidak Setuju,Sangat Setuju
"Buku Non-Fiksi (Pengembangan Diri, Bisnis, dll.)",Toko buku independen lainnya,"Menambah pengetahuan; Sebagai bentuk 'self-reward' atau apresiasi diri; Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)",Bermain musik,"Kesehatan dan Kecantikan; Buku Edukasi (Buku Teks, Latihan Soal, Kamus)",Setuju,Sangat Setuju,Sangat Setuju,Sangat Tidak Setuju
"Novel Fiksi; Mainan/Collectible item; Buku Non-Fiksi (Pengembangan Diri, Bisnis, dll.)","Marketplace (Shopee, Tokopedia, dll.)","Untuk mengekspresikan kreativitas; Hiburan atau relaksasi; Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)",Travelling,"Buku non-fiksi (pengembangan diri, sejarah, agama); Kesehatan dan Kecantikan",Sangat Setuju,Setuju,Tidak Setuju,Sangat Tidak Setuju
Novel Fiksi,"Marketplace (Shopee, Tokopedia, dll.)",Menambah pengetahuan,Melukis atau menggambar ; Bermain musik; Olahraga,Alat Musik & kesenian; Kesehatan dan Kecantikan,Sangat Setuju,Netral,Sangat Setuju,Tidak Setuju
Novel Fiksi,Website Gramedia.com,Menambah pengetahuan,Bermain musik,"Buku fiksi (novel, komik, buku anak)",Setuju,Setuju,Sangat Setuju,Sangat Setuju
Alat Musik; Perlengkapan Kantor atau Sekolah,Aplikasi Gramedia.com,Sebagai bentuk 'self-reward' atau apresiasi diri; Hiburan atau relaksasi,"Menulis (diari, blog, atau lainnya); Bermain musik; Melukis atau menggambar ",Alat Tulis kantor atau sekolah; Kesehatan dan Kecantikan,Tidak Setuju,Sangat Tidak Setuju,Sangat Tidak Setuju,Netral
"Buku Non-Fiksi (Pengembangan Diri, Bisnis, dll.); Perlengkapan Seni/Kreatif; Buku Pelajaran/Edukasi (Termasuk Latihan Soal, Kamus)",Toko buku independen lainnya,"Hiburan atau relaksasi; Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)","Menulis (diari, blog, atau lainnya); Bermain game (offline/online); Olahraga","Alat Musik & kesenian; Buku non-fiksi (pengembangan diri, sejarah, agama); Alat Olahraga",Tidak Setuju,Netral,Netral,Setuju
Alat Olahraga; Mainan/Collectible item; Jurnal/Perencana (Planner),Toko buku independen lainnya,"Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)",Olahraga; Travelling; Belanja online/offline,"Buku Edukasi (Buku Teks, Latihan Soal, Kamus)",Sangat Setuju,Setuju,Setuju,Sangat Setuju
Komik/Novel Grafis; Alat Olahraga,Aplikasi Gramedia.com,Hiburan atau relaksasi; Menambah pengetahuan; Untuk mengekspresikan kreativitas,Belanja online/offline,Alat Olahraga,Setuju,Sangat Setuju,Netral,Sangat Setuju
Alat Tulis Umum (Kantor/Sekolah); Jurnal/Perencana (Planner); Perlengkapan Seni/Kreatif,Aplikasi Gramedia Digital (ebook),Kado atau hadiah; Sebagai bentuk 'self-reward' atau apresiasi diri,Melukis atau menggambar ,Kesehatan dan Kecantikan,Netral,Sangat Setuju,Sangat Setuju,Tidak Setuju
Perlengkapan Kantor atau Sekolah; Jurnal/Perencana (Planner),Website Gramedia.com,"Sebagai bentuk 'self-reward' atau apresiasi diri; Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)",Bermain game (offline/online); Membaca buku atau majalah ,Alat Tulis kantor atau sekolah; Alat Musik & kesenian,Sangat Setuju,Netral,Setuju,Tidak Setuju
"Buku Non-Fiksi (Pengembangan Diri, Bisnis, dll.)","Marketplace (Shopee, Tokopedia, dll.)",Untuk mengekspresikan kreativitas; Menambah pengetahuan; Kado atau hadiah,Melukis atau menggambar ; Menghadiri acara budaya atau edukasi,"Buku Edukasi (Buku Teks, Latihan Soal, Kamus); Buku fiksi (novel, komik, buku anak); Buku non-fiksi (pengembangan diri, sejarah, agama)",Netral,Sangat Setuju,Sangat Tidak Setuju,Tidak Setuju
Alat Musik; Mainan/Collectible item,Aplikasi Gramedia Digital (ebook),"Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)",Menghadiri acara budaya atau edukasi,Mainan; Alat Musik & kesenian,Netral,Tidak Setuju,Netral,Tidak Setuju
"Buku Non-Fiksi (Pengembangan Diri, Bisnis, dll.); Perlengkapan Kantor atau Sekolah",Aplikasi Gramedia.com,"Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor); Kado atau hadiah; Hiburan atau relaksasi","Bermain game (offline/online); Menulis (diari, blog, atau lainnya)","Buku non-fiksi (pengembangan diri, sejarah, agama)",Setuju,Sangat Setuju,Sangat Tidak Setuju,Netral
"Buku Pelajaran/Edukasi (Termasuk Latihan Soal, Kamus)",Aplikasi Gramedia Digital (ebook),Hiburan atau relaksasi,"Menulis (diari, blog, atau lainnya); Bermain game (offline/online)",Alat Musik & kesenian,Tidak Setuju,Netral,Tidak Setuju,Sangat Setuju
"Buku Anak; Buku Non-Fiksi (Pengembangan Diri, Bisnis, dll.); Mainan/Collectible item",Aplikasi Gramedia.com,"Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)",Travelling; Belanja online/offline,Alat Olahraga; Mainan,Setuju,Setuju,Sangat Setuju,Setuju
Komik/Novel Grafis; Novel Fiksi,Toko alat tulis lainnya,Sebagai bentuk 'self-reward' atau apresiasi diri; Hiburan atau relaksasi,"Melukis atau menggambar ; Menulis (diari, blog, atau lainnya)","Alat Olahraga; Mainan; Buku non-fiksi (pengembangan diri, sejarah, agama)",Sangat Tidak Setuju,Sangat Tidak Setuju,Setuju,Tidak Setuju
Jurnal/Perencana (Planner); Perlengkapan Seni/Kreatif; Novel Fiksi,Aplikasi Gramedia.com,"Sebagai bentuk 'self-reward' atau apresiasi diri; Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor); Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)",Bermain game (offline/online); Bermain musik,"Alat Olahraga; Alat Musik & kesenian; Buku Edukasi (Buku Teks, Latihan Soal, Kamus)",Tidak Setuju,Sangat Tidak Setuju,Netral,Tidak Setuju
Buku Anak,Website Gramedia.com,"Hiburan atau relaksasi; Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)",Bermain game (offline/online); Melukis atau menggambar ; Bermain musik,"Buku Edukasi (Buku Teks, Latihan Soal, Kamus); Buku fiksi (novel, komik, buku anak)",Setuju,Setuju,Netral,Netral
Alat Musik; Perlengkapan Seni/Kreatif,Toko alat tulis lainnya,"Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor); Hiburan atau relaksasi; Kado atau hadiah",Belanja online/offline; Bermain musik; Membaca buku atau majalah ,"Buku Edukasi (Buku Teks, Latihan Soal, Kamus); Mainan; Alat Olahraga",Sangat Tidak Setuju,Setuju,Setuju,Tidak Setuju
"Buku Pelajaran/Edukasi (Termasuk Latihan Soal, Kamus)",Toko buku independen lainnya,"Hiburan atau relaksasi; Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya); Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)",Bermain game (offline/online),"Buku fiksi (novel, komik, buku anak); Mainan",Tidak Setuju,Sangat Setuju,Setuju,Tidak Setuju
"Buku Non-Fiksi (Pengembangan Diri, Bisnis, dll.); Jurnal/Perencana (Planner)",Toko alat tulis lainnya,"Sebagai bentuk 'self-reward' atau apresiasi diri; Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)",Menghadiri acara budaya atau edukasi,"Mainan; Alat Tulis kantor atau sekolah; Buku Edukasi (Buku Teks, Latihan Soal, Kamus)",Netral,Netral,Sangat Tidak Setuju,Tidak Setuju
Komik/Novel Grafis; Jurnal/Perencana (Planner); Perlengkapan Kantor atau Sekolah,Aplikasi Gramedia Digital (ebook),Sebagai bentuk 'self-reward' atau apresiasi diri,"Olahraga; Belanja online/offline; Menulis (diari, blog, atau lainnya)",Mainan,Netral,Sangat Setuju,Setuju,Netral
Buku Anak; Alat Musik; Perlengkapan Kantor atau Sekolah,Toko buku independen lainnya,Kado atau hadiah,Melukis atau menggambar ; Membaca buku atau majalah ,"Alat Olahraga; Buku non-fiksi (pengembangan diri, sejarah, agama)",Setuju,Setuju,Netral,Tidak Setuju
Jurnal/Perencana (Planner),"Marketplace (Shopee, Tokopedia, dll.)","Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)",Bermain musik,Alat Tulis kantor atau sekolah; Kesehatan dan Kecantikan,Sangat Setuju,Setuju,Sangat Setuju,Tidak Setuju
"Buku Non-Fiksi (Pengembangan Diri, Bisnis, dll.); Perlengkapan Kantor atau Sekolah; Alat Tulis Umum (Kantor/Sekolah)",Aplikasi Gramedia Digital (ebook),Untuk mengekspresikan kreativitas,Olahraga; Bermain musik; Belanja online/offline,Kesehatan dan Kecantikan,Sangat Setuju,Setuju,Sangat Tidak Setuju,Setuju
Mainan/Collectible item; Novel Fiksi,Aplikasi Gramedia.com,"Sebagai bentuk 'self-reward' atau apresiasi diri; Kado atau hadiah; Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)","Menulis (diari, blog, atau lainnya); Melukis atau menggambar ","Buku Edukasi (Buku Teks, Latihan Soal, Kamus); Kesehatan dan Kecantikan; Alat Musik & kesenian",Netral,Sangat Setuju,Tidak Setuju,Netral
Perlengkapan Seni/Kreatif,Aplikasi Gramedia Digital (ebook),Hiburan atau relaksasi,Travelling; Melukis atau menggambar ,Alat Olahraga; Mainan,Netral,Sangat Setuju,Tidak Setuju,Sangat Tidak Setuju
Buku Anak; Komik/Novel Grafis,Toko Gramedia,Sebagai bentuk 'self-reward' atau apresiasi diri; Kado atau hadiah,"Bermain game (offline/online); Menulis (diari, blog, atau lainnya); Travelling",Mainan; Alat Musik & kesenian,Sangat Setuju,Netral,Netral,Sangat Tidak Setuju
"Novel Fiksi; Buku Pelajaran/Edukasi (Termasuk Latihan Soal, Kamus)","Marketplace (Shopee, Tokopedia, dll.)",Kado atau hadiah; Untuk mengekspresikan kreativitas,Bermain game (offline/online); Olahraga; Membaca buku atau majalah ,Alat Tulis kantor atau sekolah; Mainan,Sangat Setuju,Tidak Setuju,Setuju,Sangat Tidak Setuju
Jurnal/Perencana (Planner),Aplikasi Gramedia.com,Untuk mengekspresikan kreativitas,"Olahraga; Menulis (diari, blog, atau lainnya)",Alat Olahraga; Kesehatan dan Kecantikan,Sangat Setuju,Tidak Setuju,Sangat Setuju,Netral
Perlengkapan Seni/Kreatif; Mainan/Collectible item; Novel Fiksi,Website Gramedia.com,Hiburan atau relaksasi,Bermain game (offline/online); Olahraga; Menghadiri acara budaya atau edukasi,Kesehatan dan Kecantikan; Alat Olahraga,Sangat Tidak Setuju,Netral,Tidak Setuju,Netral
Alat Tulis Umum (Kantor/Sekolah),Aplikasi Gramedia.com,"Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya); Untuk mengekspresikan kreativitas; Sebagai bentuk 'self-reward' atau apresiasi diri",Bermain game (offline/online); Travelling,Alat Olahraga,Sangat Setuju,Sangat Setuju,Sangat Setuju,Tidak Setuju
Perlengkapan Kantor atau Sekolah,Aplikasi Gramedia.com,"Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor); Kado atau hadiah; Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)",Bermain game (offline/online); Olahraga,Alat Tulis kantor atau sekolah,Sangat Tidak Setuju,Setuju,Sangat Setuju,Tidak Setuju
Alat Olahraga; Novel Fiksi; Perlengkapan Seni/Kreatif,Toko buku independen lainnya,Kado atau hadiah,Bermain musik,"Buku fiksi (novel, komik, buku anak); Alat Musik & kesenian",Setuju,Netral,Tidak Setuju,Sangat Tidak Setuju
Alat Musik,Aplikasi Gramedia Digital (ebook),"Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya); Untuk mengekspresikan kreativitas",Membaca buku atau majalah ; Travelling; Melukis atau menggambar ,"Alat Tulis kantor atau sekolah; Buku Edukasi (Buku Teks, Latihan Soal, Kamus)",Setuju,Tidak Setuju,Netral,Netral
"Alat Olahraga; Perlengkapan Kantor atau Sekolah; Buku Non-Fiksi (Pengembangan Diri, Bisnis, dll.)",Aplikasi Gramedia Digital (ebook),"Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)",Olahraga,"Buku non-fiksi (pengembangan diri, sejarah, agama); Buku fiksi (novel, komik, buku anak)",Sangat Tidak Setuju,Sangat Setuju,Netral,Setuju
"Alat Tulis Umum (Kantor/Sekolah); Buku Pelajaran/Edukasi (Termasuk Latihan Soal, Kamus); Buku Anak",Toko alat tulis lainnya,Kado atau hadiah; Hiburan atau relaksasi; Untuk mengekspresikan kreativitas,Bermain game (offline/online),"Buku fiksi (novel, komik, buku anak); Buku Edukasi (Buku Teks, Latihan Soal, Kamus)",Sangat Setuju,Tidak Setuju,Tidak Setuju,Setuju
"Novel Fiksi; Buku Non-Fiksi (Pengembangan Diri, Bisnis, dll.); Alat Olahraga","Marketplace (Shopee, Tokopedia, dll.)",Hiburan atau relaksasi; Kado atau hadiah,Travelling,"Buku Edukasi (Buku Teks, Latihan Soal, Kamus); Alat Tulis kantor atau sekolah; Kesehatan dan Kecantikan",Netral,Sangat Tidak Setuju,Tidak Setuju,Netral
Jurnal/Perencana (Planner); Komik/Novel Grafis,Toko alat tulis lainnya,Menambah pengetahuan,Belanja online/offline; Olahraga,"Kesehatan dan Kecantikan; Buku fiksi (novel, komik, buku anak)",Setuju,Tidak Setuju,Netral,Setuju
Perlengkapan Seni/Kreatif; Alat Musik; Alat Tulis Umum (Kantor/Sekolah),Toko buku independen lainnya,"Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)",Bermain game (offline/online); Belanja online/offline,"Buku Edukasi (Buku Teks, Latihan Soal, Kamus); Alat Musik & kesenian",Sangat Setuju,Setuju,Sangat Tidak Setuju,Setuju
Komik/Novel Grafis; Novel Fiksi,Website Gramedia.com,Hiburan atau relaksasi,"Menulis (diari, blog, atau lainnya)",Alat Tulis kantor atau sekolah; Mainan,Tidak Setuju,Sangat Tidak Setuju,Setuju,Setuju
Novel Fiksi,Toko Gramedia,Sebagai bentuk 'self-reward' atau apresiasi diri; Kado atau hadiah,Belanja online/offline; Travelling; Bermain game (offline/online),"Alat Olahraga; Buku fiksi (novel, komik, buku anak)",Sangat Tidak Setuju,Sangat Setuju,Sangat Setuju,Sangat Tidak Setuju
Jurnal/Perencana (Planner),Aplikasi Gramedia.com,Menambah pengetahuan,Olahraga; Membaca buku atau majalah ; Belanja online/offline,"Buku fiksi (novel, komik, buku anak); Alat Tulis kantor atau sekolah; Buku Edukasi (Buku Teks, Latihan Soal, Kamus)",Setuju,Sangat Setuju,Sangat Setuju,Setuju
Alat Musik; Mainan/Collectible item; Novel Fiksi,"Marketplace (Shopee, Tokopedia, dll.)",Sebagai bentuk 'self-reward' atau apresiasi diri; Untuk mengekspresikan kreativitas,Bermain game (offline/online); Menghadiri acara budaya atau edukasi; Bermain musik,"Alat Tulis kantor atau sekolah; Alat Musik & kesenian; Buku fiksi (novel, komik, buku anak)",Tidak Setuju,Sangat Setuju,Netral,Sangat Tidak Setuju
