Produk sering beli,Saluran belanja,Motivasi utama pembelian,Hobi
Jurnal/Perencana (Planner),Website Gramedia.com,"Hiburan atau relaksasi, Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)",Bermain game (offline/online) = Aktivitas Rekreasional
"Alat Olahraga, Novel Fiksi, Buku Pelajaran/Edukasi (Termasuk Latihan Soal, Kamus)",Aplikasi Gramedia.com,Hiburan atau relaksasi,"Menulis (diari, blog, atau lainnya), Menghadiri acara budaya atau edukasi, Bermain game (offline/online) = Aktivitas Rekreasional"
"Buku Pelajaran/Edukasi (Termasuk Latihan Soal, Kamus), Novel Fiksi",Toko buku independen lainnya,Kado atau hadiah,Membaca buku atau majalah = Literasi
"Alat Tulis Umum (Kantor/Sekolah), Buku Pelajaran/Edukasi (Termasuk Latihan Soal, Kamus)",Toko Gramedia,Hiburan atau relaksasi,"Menulis (diari, blog, atau lainnya), Membaca buku atau majalah = Literasi"
"Buku Anak, Novel Fiksi, Mainan/Collectible item",Website Gramedia.com,"Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)",Belanja online/offline = Lifestyle
"Perlengkapan Kantor atau Sekolah, Alat Olahraga","Marketplace (Shopee, Tokopedia, dll.)","Hiburan atau relaksasi, Untuk mengekspresikan kreativitas","Menghadiri acara budaya atau edukasi, Belanja online/offline = Lifestyle"
Perlengkapan Seni/Kreatif,"Marketplace (Shopee, Tokopedia, dll.)","Untuk mengekspresikan kreativitas, Menambah pengetahuan","Olahraga, Menghadiri acara budaya atau edukasi"
"Alat Tulis Umum (Kantor/Sekolah), Mainan/Collectible item","Marketplace (Shopee, Tokopedia, dll.)",Menambah pengetahuan,"Menulis (diari, blog, atau lainnya), Melukis atau menggambar = Seni"
"Jurnal/Perencana (Planner), Alat Tulis Umum (Kantor/Sekolah), Buku Pelajaran/Edukasi (Termasuk Latihan Soal, Kamus)",Toko buku independen lainnya,Menambah pengetahuan,Membaca buku atau majalah = Literasi
"Alat Tulis Umum (Kantor/Sekolah), Buku Anak, Komik/Novel Grafis","Marketplace (Shopee, Tokopedia, dll.)","Hiburan atau relaksasi, Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)","Menulis (diari, blog, atau lainnya)"
Perlengkapan Seni/Kreatif,Aplikasi Gramedia.com,"Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor), Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)",Bermain musik
Alat Olahraga,Toko alat tulis lainnya,"Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya), Untuk mengekspresikan kreativitas",Bermain musik
"Mainan/Collectible item, Buku Anak",Toko buku independen lainnya,"Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)","Melukis atau menggambar = Seni, Bermain musik"
"Buku Pelajaran/Edukasi (Termasuk Latihan Soal, Kamus), Novel Fiksi, Perlengkapan Seni/Kreatif",Toko Gramedia,Sebagai bentuk 'self-reward' atau apresiasi diri,"Travelling, Bermain musik"
"Perlengkapan Kantor atau Sekolah, Mainan/Collectible item",Toko alat tulis lainnya,Menambah pengetahuan,Bermain game (offline/online) = Aktivitas Rekreasional
"Buku Pelajaran/Edukasi (Termasuk Latihan Soal, Kamus)",Toko alat tulis lainnya,"Sebagai bentuk 'self-reward' atau apresiasi diri, Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)","Melukis atau menggambar = Seni, Belanja online/offline = Lifestyle"
"Mainan/Collectible item, Alat Musik, Alat Olahraga",Toko buku independen lainnya,Kado atau hadiah,"Membaca buku atau majalah = Literasi, Menulis (diari, blog, atau lainnya)"
"Perlengkapan Seni/Kreatif, Buku Non-Fiksi (Pengembangan Diri, Bisnis, dll.), Alat Musik",Aplikasi Gramedia.com,"Hiburan atau relaksasi, Sebagai bentuk 'self-reward' atau apresiasi diri",Melukis atau menggambar = Seni
"Buku Non-Fiksi (Pengembangan Diri, Bisnis, dll.), Buku Pelajaran/Edukasi (Termasuk Latihan Soal, Kamus), Mainan/Collectible item",Website Gramedia.com,"Sebagai bentuk 'self-reward' atau apresiasi diri, Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)","Belanja online/offline = Lifestyle, Travelling, Bermain musik"
"Perlengkapan Seni/Kreatif, Komik/Novel Grafis","Marketplace (Shopee, Tokopedia, dll.)",Menambah pengetahuan,Belanja online/offline = Lifestyle
Buku Anak,"Marketplace (Shopee, Tokopedia, dll.)","Hiburan atau relaksasi, Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya), Untuk mengekspresikan kreativitas","Bermain musik, Travelling, Melukis atau menggambar = Seni"
"Komik/Novel Grafis, Alat Tulis Umum (Kantor/Sekolah)","Marketplace (Shopee, Tokopedia, dll.)",Untuk mengekspresikan kreativitas,"Menghadiri acara budaya atau edukasi, Membaca buku atau majalah = Literasi, Melukis atau menggambar = Seni"
"Perlengkapan Seni/Kreatif, Buku Anak",Website Gramedia.com,Hiburan atau relaksasi,"Menulis (diari, blog, atau lainnya)"
"Alat Olahraga, Perlengkapan Kantor atau Sekolah, Novel Fiksi",Toko buku independen lainnya,"Untuk mengekspresikan kreativitas, Menambah pengetahuan","Menghadiri acara budaya atau edukasi, Travelling, Belanja online/offline = Lifestyle"
"Mainan/Collectible item, Perlengkapan Seni/Kreatif",Aplikasi Gramedia Digital (ebook),"Untuk mengekspresikan kreativitas, Hiburan atau relaksasi, Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)","Travelling, Bermain game (offline/online) = Aktivitas Rekreasional"
"Komik/Novel Grafis, Novel Fiksi, Buku Non-Fiksi (Pengembangan Diri, Bisnis, dll.)",Aplikasi Gramedia.com,"Untuk mengekspresikan kreativitas, Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)",Belanja online/offline = Lifestyle
"Buku Anak, Buku Pelajaran/Edukasi (Termasuk Latihan Soal, Kamus)",Toko buku independen lainnya,"Hiburan atau relaksasi, Untuk mengekspresikan kreativitas","Belanja online/offline = Lifestyle, Travelling"
"Mainan/Collectible item, Jurnal/Perencana (Planner)",Toko Gramedia,"Menambah pengetahuan, Untuk mengekspresikan kreativitas, Kado atau hadiah",Membaca buku atau majalah = Literasi
"Buku Anak, Buku Non-Fiksi (Pengembangan Diri, Bisnis, dll.), Alat Olahraga",Toko alat tulis lainnya,"Menambah pengetahuan, Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor), Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)","Membaca buku atau majalah = Literasi, Menghadiri acara budaya atau edukasi, Bermain game (offline/online) = Aktivitas Rekreasional"
"Perlengkapan Kantor atau Sekolah, Komik/Novel Grafis",Toko alat tulis lainnya,"Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor), Hiburan atau relaksasi, Sebagai bentuk 'self-reward' atau apresiasi diri","Travelling, Menulis (diari, blog, atau lainnya)"
"Buku Pelajaran/Edukasi (Termasuk Latihan Soal, Kamus)",Website Gramedia.com,Sebagai bentuk 'self-reward' atau apresiasi diri,"Menghadiri acara budaya atau edukasi, Belanja online/offline = Lifestyle"
"Buku Pelajaran/Edukasi (Termasuk Latihan Soal, Kamus), Alat Tulis Umum (Kantor/Sekolah)",Aplikasi Gramedia Digital (ebook),"Hiburan atau relaksasi, Menambah pengetahuan, Sebagai bentuk 'self-reward' atau apresiasi diri",Belanja online/offline = Lifestyle
"Perlengkapan Kantor atau Sekolah, Perlengkapan Seni/Kreatif, Alat Musik",Aplikasi Gramedia Digital (ebook),"Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya), Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor), Menambah pengetahuan","Olahraga, Belanja online/offline = Lifestyle, Travelling"
"Jurnal/Perencana (Planner), Alat Tulis Umum (Kantor/Sekolah), Alat Olahraga",Toko Gramedia,Sebagai bentuk 'self-reward' atau apresiasi diri,"Membaca buku atau majalah = Literasi, Melukis atau menggambar = Seni"
"Komik/Novel Grafis, Alat Olahraga, Perlengkapan Kantor atau Sekolah",Website Gramedia.com,"Kado atau hadiah, Menambah pengetahuan","Bermain musik, Belanja online/offline = Lifestyle"
Jurnal/Perencana (Planner),Aplikasi Gramedia Digital (ebook),"Sebagai bentuk 'self-reward' atau apresiasi diri, Hiburan atau relaksasi","Belanja online/offline = Lifestyle, Bermain musik"
"Jurnal/Perencana (Planner), Perlengkapan Seni/Kreatif",Toko buku independen lainnya,Menambah pengetahuan,"Bermain musik, Olahraga, Bermain game (offline/online) = Aktivitas Rekreasional"
Perlengkapan Kantor atau Sekolah,"Marketplace (Shopee, Tokopedia, dll.)","Sebagai bentuk 'self-reward' atau apresiasi diri, Untuk mengekspresikan kreativitas, Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)","Belanja online/offline = Lifestyle, Melukis atau menggambar = Seni, Travelling"
Novel Fiksi,Toko Gramedia,"Kado atau hadiah, Hiburan atau relaksasi, Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)","Menghadiri acara budaya atau edukasi, Travelling, Belanja online/offline = Lifestyle"
"Jurnal/Perencana (Planner), Komik/Novel Grafis, Perlengkapan Kantor atau Sekolah","Marketplace (Shopee, Tokopedia, dll.)",Hiburan atau relaksasi,"Olahraga, Belanja online/offline = Lifestyle, Menghadiri acara budaya atau edukasi"
"Buku Pelajaran/Edukasi (Termasuk Latihan Soal, Kamus), Alat Olahraga, Perlengkapan Seni/Kreatif",Toko Gramedia,"Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)",Bermain musik
"Alat Tulis Umum (Kantor/Sekolah), Buku Non-Fiksi (Pengembangan Diri, Bisnis, dll.), Komik/Novel Grafis",Aplikasi Gramedia.com,Untuk mengekspresikan kreativitas,"Menulis (diari, blog, atau lainnya), Belanja online/offline = Lifestyle"
"Perlengkapan Kantor atau Sekolah, Alat Tulis Umum (Kantor/Sekolah), Buku Non-Fiksi (Pengembangan Diri, Bisnis, dll.)",Aplikasi Gramedia.com,"Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor), Untuk mengekspresikan kreativitas, Menambah pengetahuan",Melukis atau menggambar = Seni
"Alat Tulis Umum (Kantor/Sekolah), Novel Fiksi, Alat Olahraga",Website Gramedia.com,"Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)",Melukis atau menggambar = Seni
Jurnal/Perencana (Planner),Aplikasi Gramedia Digital (ebook),"Hiburan atau relaksasi, Untuk mengekspresikan kreativitas, Kado atau hadiah","Belanja online/offline = Lifestyle, Menulis (diari, blog, atau lainnya), Menghadiri acara budaya atau edukasi"
"Alat Tulis Umum (Kantor/Sekolah), Perlengkapan Kantor atau Sekolah",Toko alat tulis lainnya,Hiburan atau relaksasi,"Belanja online/offline = Lifestyle, Bermain game (offline/online) = Aktivitas Rekreasional"
Jurnal/Perencana (Planner),Toko alat tulis lainnya,"Hiburan atau relaksasi, Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)",Bermain musik
"Mainan/Collectible item, Buku Anak","Marketplace (Shopee, Tokopedia, dll.)","Sebagai bentuk 'self-reward' atau apresiasi diri, Untuk mengekspresikan kreativitas, Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)","Membaca buku atau majalah = Literasi, Travelling, Melukis atau menggambar = Seni"
"Novel Fiksi, Alat Musik, Buku Anak",Aplikasi Gramedia Digital (ebook),"Untuk mengekspresikan kreativitas, Hiburan atau relaksasi","Olahraga, Melukis atau menggambar = Seni"
Alat Olahraga,Aplikasi Gramedia.com,Untuk mengekspresikan kreativitas,Travelling
Perlengkapan Kantor atau Sekolah,"Marketplace (Shopee, Tokopedia, dll.)","Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor), Untuk mengekspresikan kreativitas","Menulis (diari, blog, atau lainnya)"
Novel Fiksi,Toko buku independen lainnya,"Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)","Menghadiri acara budaya atau edukasi, Menulis (diari, blog, atau lainnya)"
"Perlengkapan Seni/Kreatif, Buku Non-Fiksi (Pengembangan Diri, Bisnis, dll.)",Website Gramedia.com,"Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)","Bermain musik, Menulis (diari, blog, atau lainnya), Bermain game (offline/online) = Aktivitas Rekreasional"
"Novel Fiksi, Buku Non-Fiksi (Pengembangan Diri, Bisnis, dll.), Alat Tulis Umum (Kantor/Sekolah)",Toko alat tulis lainnya,"Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya), Kado atau hadiah, Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)",Belanja online/offline = Lifestyle
Buku Anak,Aplikasi Gramedia Digital (ebook),"Untuk mengekspresikan kreativitas, Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya), Hiburan atau relaksasi","Olahraga, Travelling"
"Buku Pelajaran/Edukasi (Termasuk Latihan Soal, Kamus), Alat Olahraga",Toko alat tulis lainnya,"Hiburan atau relaksasi, Kado atau hadiah, Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)",Travelling
"Alat Olahraga, Mainan/Collectible item, Alat Musik",Toko Gramedia,"Untuk mengekspresikan kreativitas, Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)","Melukis atau menggambar = Seni, Menulis (diari, blog, atau lainnya)"
"Alat Musik, Alat Tulis Umum (Kantor/Sekolah)",Toko Gramedia,"Sebagai bentuk 'self-reward' atau apresiasi diri, Kado atau hadiah","Membaca buku atau majalah = Literasi, Belanja online/offline = Lifestyle, Menghadiri acara budaya atau edukasi"
"Alat Musik, Buku Non-Fiksi (Pengembangan Diri, Bisnis, dll.)","Marketplace (Shopee, Tokopedia, dll.)","Hiburan atau relaksasi, Menambah pengetahuan, Kado atau hadiah","Menulis (diari, blog, atau lainnya), Travelling"
"Mainan/Collectible item, Jurnal/Perencana (Planner), Buku Pelajaran/Edukasi (Termasuk Latihan Soal, Kamus)",Toko Gramedia,"Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)","Menulis (diari, blog, atau lainnya), Membaca buku atau majalah = Literasi, Bermain game (offline/online) = Aktivitas Rekreasional"
"Perlengkapan Seni/Kreatif, Buku Non-Fiksi (Pengembangan Diri, Bisnis, dll.), Buku Pelajaran/Edukasi (Termasuk Latihan Soal, Kamus)",Toko Gramedia,"Sebagai bentuk 'self-reward' atau apresiasi diri, Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)",Melukis atau menggambar = Seni
"Alat Musik, Jurnal/Perencana (Planner), Buku Pelajaran/Edukasi (Termasuk Latihan Soal, Kamus)",Aplikasi Gramedia.com,"Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor), Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya), Menambah pengetahuan","Menulis (diari, blog, atau lainnya), Bermain musik, Melukis atau menggambar = Seni"
"Komik/Novel Grafis, Novel Fiksi, Mainan/Collectible item",Website Gramedia.com,"Kado atau hadiah, Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya), Hiburan atau relaksasi",Bermain game (offline/online) = Aktivitas Rekreasional
"Alat Tulis Umum (Kantor/Sekolah), Mainan/Collectible item",Toko Gramedia,Kado atau hadiah,"Belanja online/offline = Lifestyle, Travelling, Olahraga"
"Jurnal/Perencana (Planner), Alat Musik, Alat Olahraga",Toko Gramedia,"Sebagai bentuk 'self-reward' atau apresiasi diri, Kado atau hadiah",Melukis atau menggambar = Seni
"Komik/Novel Grafis, Alat Olahraga",Toko alat tulis lainnya,"Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)","Olahraga, Travelling, Menghadiri acara budaya atau edukasi"
"Perlengkapan Seni/Kreatif, Buku Pelajaran/Edukasi (Termasuk Latihan Soal, Kamus)",Aplikasi Gramedia Digital (ebook),"Menambah pengetahuan, Untuk mengekspresikan kreativitas, Kado atau hadiah","Menulis (diari, blog, atau lainnya)"
"Komik/Novel Grafis, Buku Non-Fiksi (Pengembangan Diri, Bisnis, dll.)","Marketplace (Shopee, Tokopedia, dll.)","Hiburan atau relaksasi, Kado atau hadiah",Belanja online/offline = Lifestyle
Mainan/Collectible item,Aplikasi Gramedia.com,"Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya), Kado atau hadiah, Hiburan atau relaksasi","Membaca buku atau majalah = Literasi, Bermain musik"
"Perlengkapan Kantor atau Sekolah, Novel Fiksi",Toko buku independen lainnya,"Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor), Sebagai bentuk 'self-reward' atau apresiasi diri, Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)","Olahraga, Bermain game (offline/online) = Aktivitas Rekreasional"
Komik/Novel Grafis,Toko buku independen lainnya,"Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor), Menambah pengetahuan, Untuk mengekspresikan kreativitas","Melukis atau menggambar = Seni, Menulis (diari, blog, atau lainnya), Travelling"
"Buku Non-Fiksi (Pengembangan Diri, Bisnis, dll.)","Marketplace (Shopee, Tokopedia, dll.)","Untuk mengekspresikan kreativitas, Menambah pengetahuan, Sebagai bentuk 'self-reward' atau apresiasi diri","Menghadiri acara budaya atau edukasi, Olahraga"
"Novel Fiksi, Alat Tulis Umum (Kantor/Sekolah), Perlengkapan Kantor atau Sekolah",Toko alat tulis lainnya,Hiburan atau relaksasi,"Bermain musik, Melukis atau menggambar = Seni, Menghadiri acara budaya atau edukasi"
"Alat Olahraga, Novel Fiksi, Komik/Novel Grafis",Aplikasi Gramedia Digital (ebook),Hiburan atau relaksasi,"Menghadiri acara budaya atau edukasi, Bermain musik, Menulis (diari, blog, atau lainnya)"
"Novel Fiksi, Alat Musik, Alat Tulis Umum (Kantor/Sekolah)",Aplikasi Gramedia Digital (ebook),"Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)","Menghadiri acara budaya atau edukasi, Travelling"
Jurnal/Perencana (Planner),Toko buku independen lainnya,Menambah pengetahuan,"Travelling, Olahraga"
Novel Fiksi,Aplikasi Gramedia Digital (ebook),Kado atau hadiah,Belanja online/offline = Lifestyle
Jurnal/Perencana (Planner),Toko Gramedia,"Sebagai bentuk 'self-reward' atau apresiasi diri, Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya), Untuk mengekspresikan kreativitas",Membaca buku atau majalah = Literasi
"Komik/Novel Grafis, Perlengkapan Kantor atau Sekolah",Toko buku independen lainnya,"Kado atau hadiah, Untuk mengekspresikan kreativitas, Sebagai bentuk 'self-reward' atau apresiasi diri","Travelling, Menulis (diari, blog, atau lainnya), Membaca buku atau majalah = Literasi"
"Perlengkapan Kantor atau Sekolah, Alat Olahraga","Marketplace (Shopee, Tokopedia, dll.)","Menambah pengetahuan, Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)","Olahraga, Menghadiri acara budaya atau edukasi"
"Perlengkapan Seni/Kreatif, Komik/Novel Grafis, Buku Anak","Marketplace (Shopee, Tokopedia, dll.)",Kado atau hadiah,Menghadiri acara budaya atau edukasi
Mainan/Collectible item,"Marketplace (Shopee, Tokopedia, dll.)","Menambah pengetahuan, Sebagai bentuk 'self-reward' atau apresiasi diri, Hiburan atau relaksasi",Menghadiri acara budaya atau edukasi
"Komik/Novel Grafis, Alat Musik, Buku Anak",Website Gramedia.com,"Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya), Menambah pengetahuan, Sebagai bentuk 'self-reward' atau apresiasi diri",Melukis atau menggambar = Seni
"Novel Fiksi, Jurnal/Perencana (Planner)",Aplikasi Gramedia.com,"Menambah pengetahuan, Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor), Kado atau hadiah","Membaca buku atau majalah = Literasi, Bermain game (offline/online) = Aktivitas Rekreasional, Bermain musik"
"Alat Olahraga, Buku Pelajaran/Edukasi (Termasuk Latihan Soal, Kamus), Alat Musik",Toko Gramedia,"Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya), Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor), Menambah pengetahuan","Travelling, Bermain game (offline/online) = Aktivitas Rekreasional"
"Alat Tulis Umum (Kantor/Sekolah), Novel Fiksi, Perlengkapan Seni/Kreatif",Aplikasi Gramedia.com,"Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor), Kado atau hadiah, Menambah pengetahuan","Olahraga, Travelling, Membaca buku atau majalah = Literasi"
"Mainan/Collectible item, Alat Musik, Jurnal/Perencana (Planner)",Toko Gramedia,"Menambah pengetahuan, Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor), Sebagai bentuk 'self-reward' atau apresiasi diri","Travelling, Melukis atau menggambar = Seni"
